Date,open_adj,high_adj,low_adj,close_adj,volume
1990-01-02,4.729703,4.8119,4.65786,4.8119,1236907
1990-01-03,4.8119,4.837574,4.777564,4.777564,1705440
1990-01-04,4.777564,4.779148,4.705932,4.748298,1652822
1990-01-05,4.748298,4.749988,4.709735,4.715018,1533064
1990-01-08,4.715018,4.724315,4.683322,4.72347,1290307
1990-01-09,4.72347,4.740163,4.671489,4.673602,1487261
1990-01-10,4.673602,4.673602,4.573973,4.575875,1607466
1990-01-11,4.575875,4.611057,4.511427,4.511427,1485808
1990-01-12,4.511427,4.511427,4.403663,4.411903,1603109
1990-01-15,4.411903,4.423314,4.380102,4.38697,1207191
1990-01-16,4.38697,4.479626,4.326643,4.47783,1648800
1990-01-17,4.47783,4.519774,4.446874,4.450149,1554513
1990-01-18,4.450149,4.450572,4.401655,4.44941,1523009
1990-01-19,4.44941,4.540693,4.44941,4.519985,1699966
1990-01-22,4.519985,4.519985,4.392675,4.396373,1457768
1990-01-23,4.396373,4.437049,4.354429,4.384117,1580096
1990-01-24,4.384117,4.432083,4.347562,4.368586,1825757
1990-01-25,4.368586,4.433773,4.341645,4.34809,1457880
1990-01-26,4.34809,4.368692,4.252264,4.29463,1523121
1990-01-29,4.29463,4.327805,4.228598,4.269485,1324827
1990-01-30,4.269485,4.269485,4.156015,4.176512,1789226
1990-01-31,4.176512,4.267583,4.176512,4.267055,1653381
1990-02-01,4.267055,4.290404,4.237156,4.290404,1513402
1990-02-02,4.290404,4.368798,4.282903,4.344709,1508375
1990-02-05,4.344709,4.370488,4.333193,4.363198,1210431
1990-02-06,4.363198,4.367952,4.305829,4.333299,1337227
1990-02-07,4.333299,4.378201,4.287552,4.369854,1667904
1990-02-08,4.369854,4.428491,4.369854,4.379151,1564344
1990-02-09,4.379151,4.410847,4.372284,4.405564,1400123
1990-02-12,4.405564,4.406093,4.351682,4.371439,1262714
1990-02-13,4.371439,4.394999,4.339004,4.378201,1421349
1990-02-14,4.378201,4.40641,4.373658,4.396373,1558870
1990-02-15,4.396373,4.439584,4.371227,4.435886,1702312
1990-02-16,4.435886,4.446557,4.401655,4.402606,1343037
1990-02-20,4.402606,4.402606,4.296743,4.333087,1209649
1990-02-21,4.333087,4.341011,4.26452,4.326431,1341696
1990-02-22,4.326431,4.370911,4.310055,4.314598,1506699
1990-02-23,4.314598,4.314598,4.23462,4.263991,1309522
1990-02-26,4.263991,4.324847,4.255539,4.32379,1280253
1990-02-27,4.324318,4.367847,4.324318,4.348301,1461790
1990-02-28,4.348301,4.407572,4.344392,4.393309,1445591
1990-03-01,4.393309,4.437788,4.363938,4.418454,1499661
1990-03-02,4.418454,4.470012,4.414228,4.469906,1478770
1990-03-05,4.469906,4.481317,4.423525,4.445606,1240035
1990-03-06,4.445606,4.490297,4.388132,4.457651,1554513
1990-03-07,4.457651,4.476774,4.433351,4.440641,1871783
1990-03-08,4.440641,4.512801,4.429125,4.503081,1628021
1990-03-09,4.503081,4.524634,4.489663,4.518083,1509492
1990-03-12,4.518083,4.518295,4.477936,4.51185,1160048
1990-03-13,4.51185,4.522415,4.46885,4.469272,1381020
1990-03-14,4.469272,4.497481,4.452368,4.485331,1364933
1990-03-15,4.486071,4.524634,4.481633,4.510899,1437547
1990-03-16,4.523577,4.623312,4.523577,4.605563,1966629
1990-03-19,4.605563,4.651521,4.563302,4.645922,1445591
1990-03-20,4.645922,4.650887,4.56943,4.583693,1611152
1990-03-21,4.583693,4.60271,4.557808,4.560978,1464359
1990-03-22,4.560978,4.569536,4.46325,4.491036,1633495
1990-03-23,4.491036,4.551152,4.491036,4.532241,1460561
1990-03-26,4.532241,4.591088,4.532241,4.573339,1075591
1990-03-27,4.573339,4.605351,4.542383,4.595209,1194344
1990-03-28,4.595209,4.595209,4.505405,4.526747,1477541
1990-03-29,4.526747,4.534776,4.487444,4.503081,1387387
1990-03-30,4.503081,4.527486,4.473393,4.50382,1414646
1990-04-02,4.50382,4.50382,4.435147,4.493783,1244281
1990-04-03,4.493783,4.581263,4.493783,4.581263,1505358
1990-04-04,4.581263,4.600703,4.534142,4.553159,1545911
1990-04-05,4.553159,4.565309,4.51914,4.523154,1499661
1990-04-06,4.523154,4.536572,4.479943,4.489663,1525690
1990-04-09,4.489663,4.503926,4.464306,4.482056,1255340
1990-04-10,4.482056,4.522838,4.478464,4.505511,1446708
1990-04-11,4.505511,4.555695,4.505511,4.53298,1494969
1990-04-12,4.53298,4.589292,4.53298,4.565098,1579760
1990-04-16,4.565098,4.611691,4.565098,4.583693,1392526
1990-04-17,4.582742,4.582742,4.530339,4.574712,1524350
1990-04-18,4.574712,4.587285,4.496636,4.50382,1672931
1990-04-19,4.50382,4.50382,4.452262,4.455749,1627016
1990-04-20,4.455749,4.481,4.393731,4.408206,1679298
1990-04-23,4.40736,4.40736,4.305618,4.345026,1407496
1990-04-24,4.345026,4.39183,4.315443,4.326643,1416433
1990-04-25,4.326643,4.351471,4.320304,4.34397,1359682
1990-04-26,4.34397,4.375982,4.326326,4.348301,1295111
1990-04-27,4.348301,4.363832,4.28977,4.303611,1296005
1990-04-30,4.303611,4.353901,4.288819,4.348935,1181832
1990-05-01,4.348935,4.386441,4.348935,4.37482,1386717
1990-05-02,4.37482,4.409579,4.37482,4.40567,1600428
1990-05-03,4.40736,4.464095,4.40736,4.439267,1796934
1990-05-04,4.439267,4.495051,4.435252,4.494523,1528372
1990-05-07,4.494523,4.565309,4.494523,4.543651,1370630
1990-05-08,4.543651,4.556223,4.525796,4.546609,1495192
1990-05-09,4.546609,4.556857,4.524422,4.552103,1638076
1990-05-10,4.552103,4.586862,4.540165,4.581263,1591826
1990-05-11,4.581263,4.671806,4.577248,4.667475,1871895
1990-05-14,4.668108,4.768583,4.668108,4.730232,1979253
1990-05-15,4.730232,4.749777,4.696951,4.743544,1813468
1990-05-16,4.743544,4.758863,4.7016,4.756961,1703541
1990-05-17,4.757067,4.803025,4.757067,4.788974,1914905
1990-05-18,4.788974,4.838313,4.772175,4.828487,2138335
1990-05-21,4.828487,4.911001,4.828487,4.906775,1893232
1990-05-22,4.906775,4.959813,4.87994,4.920087,2124371
1990-05-23,4.920087,4.989289,4.904451,4.988021,2108507
1990-05-24,4.988021,5.025316,4.982739,5.008624,1947526
1990-05-25,5.007673,5.007673,4.902338,4.906458,1700189
1990-05-29,4.906458,4.986542,4.902655,4.983373,1496980
1990-05-30,4.983373,5.027429,4.970695,4.994255,1891892
1990-05-31,4.994255,5.017815,4.960975,4.989923,1756829
1990-06-01,4.989923,5.043171,4.989923,5.026584,1877481
1990-06-04,5.026584,5.076769,4.98538,5.073599,1588251
1990-06-05,5.073599,5.091771,5.007673,5.025739,1937807
1990-06-06,5.025739,5.045602,5.001017,5.030176,1748562
1990-06-07,5.030176,5.062506,4.98538,5.016019,1687342
1990-06-08,5.016019,5.016019,4.926638,4.959918,1540549
1990-06-11,4.959918,5.00725,4.918186,5.006827,1253665
1990-06-12,5.006827,5.075607,5.004292,5.073599,1824193
1990-06-13,5.073599,5.131391,5.072965,5.114697,1827097
1990-06-14,5.114697,5.115966,5.055744,5.082157,1733480
1990-06-15,5.082157,5.100118,5.060921,5.087862,1882396
1990-06-18,5.087862,5.087862,4.992881,5.001756,1761185
1990-06-19,5.001756,5.013589,4.964355,5.003129,1597300
1990-06-20,5.003129,5.037149,4.980731,5.01454,1654386
1990-06-21,5.01454,5.034508,4.98855,5.032078,1611934
1990-06-22,5.032078,5.062189,4.980203,4.98126,1871672
1990-06-25,4.98126,4.998058,4.916284,4.921566,1268634
1990-06-26,4.921566,4.978407,4.914594,4.922095,1470392
1990-06-27,4.922095,4.97566,4.897161,4.964567,1535521
1990-06-28,4.971117,5.023309,4.971117,5.016653,1662541
1990-06-29,5.018238,5.048665,5.018238,5.038734,1774144
1990-07-02,5.038734,5.048137,5.020034,5.037889,1275226
1990-07-03,5.037889,5.037889,5.004186,5.032923,1463689
1990-07-05,5.032923,5.032923,4.991191,5.014223,1092125
1990-07-06,5.014223,5.044439,4.983373,5.03884,1132789
1990-07-09,5.03884,5.075184,5.034297,5.062823,1323822
1990-07-10,5.062823,5.080678,5.029754,5.04296,1589368
1990-07-11,5.04296,5.088707,5.011899,5.087651,1776602
1990-07-12,5.087651,5.147027,5.069796,5.143646,1717058
1990-07-13,5.143646,5.207988,5.137413,5.171433,1794030
1990-07-16,5.171433,5.215278,5.161079,5.20186,1542448
1990-07-17,5.20186,5.206297,5.091032,5.103498,1874688
1990-07-18,5.103498,5.103498,5.014751,5.033663,1776155
1990-07-19,5.033663,5.033663,4.926321,4.995206,2039467
1990-07-20,4.995206,5.025211,4.905085,4.91153,1950319
1990-07-23,4.91153,4.91153,4.740903,4.80461,1886641
1990-07-24,4.80461,4.844547,4.691774,4.785699,1793024
1990-07-25,4.785699,4.852259,4.785699,4.833876,1581883
1990-07-26,4.833876,4.840426,4.777669,4.800807,1519993
1990-07-27,4.800807,4.800807,4.753792,4.767738,1360688
1990-07-30,4.767738,4.767738,4.677406,4.731499,1345494
1990-07-31,4.731499,4.751362,4.68945,4.720195,1509827
1990-08-01,4.720195,4.746396,4.683639,4.71449,1440899
1990-08-02,4.714067,4.714067,4.589081,4.626904,1637070
1990-08-03,4.626904,4.626904,4.323579,4.49241,2269712
1990-08-06,4.49241,4.49241,4.24434,4.256807,1952888
1990-08-07,4.256807,4.36436,4.256807,4.282163,1848547
